,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,did
4,1991,45,52.97587449734872,63.56098145014527,0.7857667379713291,0.1395230037355129,0.07443887487628109,0.0002713834168768558,0.6332971488777498,0.13457424731011142,0.23069186807573194,0.0014367357364068836,0.599230548194502,0.03649308770473484,0.1659749050158041,0.19830145908495897,0.10671753775422241,0.01824654385236742,0.8750359183934102,0.0,0.001085533667507423,0.0008301139810350883,120.70588235294117,133.07692307692307,62642,0
5,1991,51,67.13159550205717,105.87989084906125,0.6800990489331297,0.18615409254422707,0.1336359828512295,0.00011087567141378801,0.594164243827921,0.11496575173705219,0.2900938747351303,0.0007699699403735279,0.5936961021041739,0.01365618686246489,0.09487877593258759,0.2977689351007737,0.07652885231360568,0.05547479426403193,0.8679963534223624,0.0,0.003911447297097521,0.001410584930764303,104.47401574803149,106.06113537117903,162344,0
0,1992,01,53.20602198727576,61.28798563486435,0.7987499475649147,0.1275556860606569,0.07344267796467972,0.00021812995511556692,0.4921934644909602,0.11319266747766266,0.39370778975628173,0.0009060782750954318,0.6377197030076764,0.028541465665506104,0.150476110575108,0.18326272075170938,0.0941566340870003,0.017601409455094592,0.8882419564579052,0.0,0.023104996014933512,0.0060237426066529634,23.136528685548292,27.31615598885794,119195,0
1,1992,13,63.918455029380716,89.42382611782732,0.7289700853902352,0.18962424559502233,0.08105999738410657,0.00034567163063584897,0.460088940376315,0.06766288607784152,0.4714867617107943,0.0007614118350492349,0.5889824174592201,0.01761523944767279,0.09638165885012799,0.2970206842429791,0.08645994880322876,0.03510435546254601,0.8784356957342252,0.0,0.03441768343952615,0.026355126216857566,99.09473398479913,103.61839773130096,214076,0
2,1992,27,61.26054108473305,83.08470807841911,0.7353403960047693,0.2223959656769805,0.04152577158382362,0.000737866734426614,0.3581194659994918,0.11527823928382948,0.5258351087742617,0.0007671859424170755,0.642501123902973,0.011757002404175055,0.06797169719121987,0.2777701765016321,0.007720724770821524,0.02180371767557319,0.9704755575536053,0.0,0.00024921326791892264,9.773069330153828e-05,100.92156862745098,101.05,204644,0
3,1992,37,54.41448666676201,72.10850862250464,0.8267890979386376,0.1056472141941164,0.06681723352536988,0.0007464543418760885,0.48926254138993625,0.05919478630351982,0.45054261488697916,0.0010000574195647596,0.664885065171206,0.03418856585067085,0.12455260589124735,0.1763737630868758,0.09379964399869849,0.026412999789461596,0.8797873562118399,0.0,0.012617949355943882,0.0031245813156736274,44.775123246113004,59.10260336906585,208988,0
4,1992,45,53.72327624736104,67.26495904783874,0.8250685010251202,0.09561401827971412,0.07875222748088678,0.0005652532142788711,0.49015118128341223,0.07035007377033474,0.4387227193469888,0.0007760255992642128,0.6128207093448811,0.03300503937611374,0.13776849527678248,0.2164057560022227,0.09159018183908486,0.018164747360554907,0.8902450708003602,0.0,0.014303780490141601,0.0035927111077046887,42.25385130609511,62.89066666666667,104378,0
5,1992,51,67.77272485700051,113.14545407739212,0.740439992056312,0.12364571151172797,0.13581867796435637,9.561846760372765e-05,0.405459078973499,0.07173223886964261,0.5218083658803887,0.0010003162764697661,0.6346050589524629,0.013169605095728797,0.07976419014835573,0.27246114580345254,0.0626742278808741,0.055903704847856305,0.8814220672712696,0.0,0.012323749420772745,0.007369977272225777,111.82960310355118,122.73353293413173,271914,0
0,1993,01,53.12728717853439,66.98209316937438,0.7750586636234245,0.14328670162975882,0.08128277789888058,0.0003718568479361945,0.4820931693743829,0.0877582161129419,0.4295010706912691,0.0006475438214061318,0.658353315296139,0.030723069229486966,0.1459409901650275,0.16498262530934643,0.10728711195455654,0.017554207752574148,0.8751586802928694,0.0,0.030049880108223164,0.014861451267518946,46.944100704075105,53.7351164797239,155974,0
1,1993,13,63.509142318657375,92.55738789900998,0.6784404984841738,0.2363255396890269,0.08326674271213942,0.0019672191146598997,0.4074888524250169,0.057781342832917526,0.5340954147019892,0.0006343900400763708,0.6242489492914961,0.02145641313431379,0.09695492780763341,0.2573397097665567,0.10267663797678377,0.0349860007197887,0.8623373613034275,0.0,0.04735355654916218,0.03134130794146532,83.50598995233801,91.70650058388478,327874,0
