,as_of_year,state_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total
4,1991,45,52.97587449734870,63.56098145014530,0.7857667379713290,0.1395230037355130,0.07443887487628110,0.0002713834168768560,0.6332971488777500,0.13457424731011100,0.23069186807573200,0.0014367357364068800,0.599230548194502,0.03649308770473480,0.1659749050158040,0.19830145908495900,0.10671753775422200,0.01824654385236740,0.7278183966029180,0.147217521790492,0.001085533667507420,0.0008301139810350880,120.70588235294100,133.07692307692300,62642
5,1991,51,67.13159550205720,105.87989084906100,0.6800990489331300,0.18615409254422700,0.1336359828512300,0.00011087567141378800,0.594164243827921,0.11496575173705200,0.2900938747351300,0.0007699699403735280,0.5936961021041740,0.01365618686246490,0.09487877593258760,0.2977689351007740,0.07652885231360570,0.05547479426403190,0.6263736263736260,0.24162272704873600,0.003911447297097520,0.001410584930764300,104.47401574803100,106.06113537117900,162344
0,1992,1,53.20602198727580,61.28798563486440,0.7987499475649150,0.1275556860606570,0.07344267796467970,0.00021812995511556700,0.4921934644909600,0.11319266747766300,0.39370778975628200,0.0009060782750954320,0.6377197030076760,0.028541465665506100,0.150476110575108,0.18326272075170900,0.0941566340870003,0.017601409455094600,0.7454423423801330,0.14279961407777200,0.023104996014933500,0.0060237426066529600,23.136528685548300,27.31615598885790,119195
1,1992,13,63.918455029380700,89.42382611782730,0.7289700853902350,0.18962424559502200,0.08105999738410660,0.00034567163063584900,0.460088940376315,0.06766288607784150,0.4714867617107940,0.0007614118350492350,0.5889824174592200,0.01761523944767280,0.09638165885012800,0.2970206842429790,0.08645994880322880,0.03510435546254600,0.6356060464507930,0.24282964928343200,0.03441768343952620,0.026355126216857600,99.09473398479910,103.61839773130100,214076
2,1992,27,61.26054108473310,83.08470807841910,0.7353403960047690,0.2223959656769810,0.04152577158382360,0.000737866734426614,0.3581194659994920,0.11527823928382900,0.5258351087742620,0.0007671859424170760,0.642501123902973,0.011757002404175100,0.06797169719121990,0.2777701765016320,0.007720724770821520,0.02180371767557320,0.7466429506850920,0.2238326068685130,0.00024921326791892300,9.77306933015383E-05,100.92156862745100,101.05,204644
3,1992,37,54.41448666676200,72.10850862250460,0.8267890979386380,0.1056472141941160,0.06681723352536990,0.0007464543418760890,0.48926254138993600,0.05919478630351980,0.45054261488697900,0.0010000574195647600,0.664885065171206,0.03418856585067090,0.12455260589124700,0.1763737630868760,0.09379964399869850,0.026412999789461600,0.7617614408482780,0.11802591536356200,0.012617949355943900,0.0031245813156736300,44.775123246113000,59.10260336906590,208988
4,1992,45,53.72327624736100,67.26495904783870,0.8250685010251200,0.09561401827971410,0.07875222748088680,0.0005652532142788710,0.49015118128341200,0.07035007377033470,0.4387227193469890,0.0007760255992642130,0.6128207093448810,0.03300503937611370,0.13776849527678200,0.2164057560022230,0.09159018183908490,0.018164747360554900,0.6871946195558450,0.20305045124451500,0.014303780490141600,0.0035927111077046900,42.25385130609510,62.89066666666670,104378
5,1992,51,67.77272485700050,113.14545407739200,0.740439992056312,0.12364571151172800,0.13581867796435600,9.56184676037277E-05,0.405459078973499,0.07173223886964260,0.5218083658803890,0.0010003162764697700,0.6346050589524630,0.013169605095728800,0.07976419014835570,0.27246114580345300,0.0626742278808741,0.055903704847856300,0.6411181476496250,0.24030391962164500,0.012323749420772700,0.007369977272225780,111.82960310355100,122.73353293413200,2719140
0,1993,1,53.300935314126400,66.05232521662750,0.7923722019672500,0.13448682110018200,0.07279939211845330,0.00034158481411512100,0.4813418009187930,0.09084064719865600,0.427162266728942,0.0006552851536086000,0.6661531275923850,0.03280608439236240,0.14556392864362900,0.15547685937162300,0.10326318064259800,0.017650872435499700,0.791528696609945,0.08755725031195760,0.018417695487594900,0.0112095587979003,59.089326267978800,64.09888059701490,143449
1,1993,13,63.248410265332300,90.08966361901510,0.6982006038337750,0.21723774530747100,0.08272451508160300,0.0018371357771511600,0.40028197897974900,0.06631134466945800,0.532680366857501,0.0007263094932923180,0.6270578768976620,0.023587256828733400,0.10053689937053200,0.24881796690307300,0.1019966390384230,0.03555000142413630,0.6830335526503180,0.17941980688712300,0.048431313908114700,0.034887778062605000,89.14283613908700,94.40269415246450,280872
