,year,state_code,county_code,applicant_income,loan_amount,conventional_loans,FHA_loans,VA_loans,FSA_RHS_loans,purchase,improvement,refinancing,multifamily,loans_originated,loans_approved_not_originated,loans_denied,other_loans,race_black,race_other,race_white,race_msrpd,subprime,subprime_originated,subprime_amount,subprime_amount_originated,total,elapsed_time,prime,prime_originated,prime_amount,state,population,sthpi,mh_income
60,1990,1,109,57422.5162354891,5185.0,88,40,14,0,113,1,11,0,61,24,32,25,20,13,82,27,0,0,0.0,0.0,142,0,142,61,5185.0,AL,4050055,146.865,23357
61,1990,1,111,2518.2903529968703,1922.0,66,18,3,0,77,4,6,0,39,19,24,5,5,0,78,4,0,0,0.0,0.0,87,0,87,39,1922.0,AL,4050055,146.865,23357
62,1990,1,112,85.0,15.0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0.0,2,0,2,1,15.0,AL,4050055,146.865,23357
63,1990,1,113,34445.549649370296,28077.0,491,194,99,0,447,136,43,0,403,42,191,148,154,12,493,125,0,0,0.0,0.0,784,0,784,403,28077.0,AL,4050055,146.865,23357
64,1990,1,115,56934.5491779187,45454.0,1245,122,25,0,964,242,178,0,890,85,275,142,34,6,1293,59,0,0,0.0,0.0,1392,0,1392,890,45454.0,AL,4050055,146.865,23357
65,1990,1,117,173371.942129816,220817.0,2184,677,74,0,2236,400,261,10,1880,86,348,622,110,25,2260,541,0,0,0.0,0.0,2936,0,2936,1880,220817.0,AL,4050055,146.865,23357
66,1990,1,119,6606.29035299687,867.0,27,14,2,0,37,4,1,0,11,2,18,12,21,0,8,14,0,0,0.0,0.0,43,0,43,11,867.0,AL,4050055,146.865,23357
67,1990,1,121,29270.258353470297,13168.0,277,155,16,0,423,9,9,1,180,61,134,73,68,1,315,64,0,0,0.0,0.0,448,0,448,180,13168.0,AL,4050055,146.865,23357
68,1990,1,123,8546.87105899062,8824.0,132,94,12,0,217,9,11,0,109,31,44,54,35,0,170,33,0,0,0.0,0.0,238,0,238,109,8824.0,AL,4050055,146.865,23357
69,1990,1,125,164371.06918501802,157031.0,2566,572,97,0,2423,440,359,8,2161,148,548,378,366,34,2440,395,0,0,0.0,0.0,3235,0,3235,2161,157031.0,AL,4050055,146.865,23357
70,1990,1,127,59808.3247097813,48306.0,1541,126,28,2,1002,560,129,5,1090,108,363,136,60,8,1496,133,0,0,0.0,0.0,1697,0,1697,1090,48306.0,AL,4050055,146.865,23357
71,1990,1,129,2497.64517649844,1924.0,89,4,0,0,50,24,18,0,66,3,18,6,12,1,76,4,0,0,0.0,0.0,93,0,93,66,1924.0,AL,4050055,146.865,23357
72,1990,1,131,2573.0,577.0,19,8,2,0,25,3,1,0,7,5,12,5,10,0,12,7,0,0,0.0,0.0,29,0,29,7,577.0,AL,4050055,146.865,23357
73,1990,1,133,2329.0,2101.0,65,21,5,0,79,11,1,0,44,7,27,13,1,0,83,7,0,0,0.0,0.0,91,0,91,44,2101.0,AL,4050055,146.865,23357
74,1990,1,135,161.645176498437,226.0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0.0,0.0,2,0,2,1,226.0,AL,4050055,146.865,23357
75,1990,1,137,200.0,120.0,7,0,0,0,4,2,1,0,4,0,1,2,0,0,7,0,0,0,0.0,0.0,7,0,7,4,120.0,AL,4050055,146.865,23357
76,1990,1,139,96.0,90.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,0,1,0,90.0,AL,4050055,146.865,23357
77,1990,1,143,30.0,70.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,0,1,0,70.0,AL,4050055,146.865,23357
78,1990,1,193,50.0,88.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,1,1,88.0,AL,4050055,146.865,23357
79,1990,1,200,3189.0,2342.0,60,1,1,0,29,20,13,0,35,0,16,11,3,2,57,0,0,0,0.0,0.0,62,0,62,35,2342.0,AL,4050055,146.865,23357
80,1990,1,201,12.0,3.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,1,1,3.0,AL,4050055,146.865,23357
81,1990,1,203,13.0,33.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,1,0,1,0,33.0,AL,4050055,146.865,23357
82,1990,1,210,144.0,105.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,1,1,105.0,AL,4050055,146.865,23357
83,1990,1,211,434.0,161.0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0.0,0.0,2,0,2,2,161.0,AL,4050055,146.865,23357
84,1990,1,215,565.645176498437,1001.0,2,2,0,0,4,0,0,0,0,0,1,3,0,0,1,3,0,0,0.0,0.0,4,0,4,0,1001.0,AL,4050055,146.865,23357
85,1990,1,217,36.0,87.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,1,0,1,1,87.0,AL,4050055,146.865,23357
86,1990,1,308,28.0,65.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,1,1,65.0,AL,4050055,146.865,23357
