,year,state,race,sex,age,population
20639,1989,HI,2,2,5,49212
20640,1989,IA,1,1,1,395737
20641,1989,IA,1,1,2,304613
20642,1989,IA,1,1,3,256294
20643,1989,IA,1,1,4,178652
20644,1989,IA,1,1,5,166136
20645,1989,IA,1,2,1,378166
20646,1989,IA,1,2,2,306258
20647,1989,IA,1,2,3,257965
20648,1989,IA,1,2,4,193662
20649,1989,IA,1,2,5,253585
20650,1989,IA,2,1,1,16674
20651,1989,IA,2,1,2,12324
20652,1989,IA,2,1,3,6174
20653,1989,IA,2,1,4,3058
20654,1989,IA,2,1,5,1681
20655,1989,IA,2,2,1,15984
20656,1989,IA,2,2,2,11368
20657,1989,IA,2,2,3,6470
20658,1989,IA,2,2,4,3375
20659,1989,IA,2,2,5,2405
20660,1989,ID,1,1,1,167794
20661,1989,ID,1,1,2,107065
20662,1989,ID,1,1,3,96724
20663,1989,ID,1,1,4,58181
20664,1989,ID,1,1,5,51283
20665,1989,ID,1,2,1,159975
20666,1989,ID,1,2,2,104812
20667,1989,ID,1,2,3,94867
20668,1989,ID,1,2,4,59981
20669,1989,ID,1,2,5,66386
20670,1989,ID,2,1,1,5557
20671,1989,ID,2,1,2,4137
20672,1989,ID,2,1,3,2462
20673,1989,ID,2,1,4,1055
20674,1989,ID,2,1,5,690
20675,1989,ID,2,2,1,5393
20676,1989,ID,2,2,2,3563
20677,1989,ID,2,2,3,2504
20678,1989,ID,2,2,4,1235
20679,1989,ID,2,2,5,732
20680,1989,IL,1,1,1,1337760
20681,1989,IL,1,1,2,1193503
20682,1989,IL,1,1,3,943568
20683,1989,IL,1,1,4,621467
20684,1989,IL,1,1,5,498224
20685,1989,IL,1,2,1,1261047
20686,1989,IL,1,2,2,1159124
20687,1989,IL,1,2,3,948962
20688,1989,IL,1,2,4,666723
20689,1989,IL,1,2,5,773996
20690,1989,IL,2,1,1,370490
20691,1989,IL,2,1,2,248648
20692,1989,IL,2,1,3,171289
20693,1989,IL,2,1,4,98819
20694,1989,IL,2,1,5,57771
20695,1989,IL,2,2,1,359999
20696,1989,IL,2,2,2,278600
20697,1989,IL,2,2,3,207819
20698,1989,IL,2,2,4,122819
20699,1989,IL,2,2,5,89173
20700,1989,IN,1,1,1,753486
20701,1989,IN,1,1,2,608930
20702,1989,IN,1,1,3,502783
20703,1989,IN,1,1,4,331512
20704,1989,IN,1,1,5,254536
20705,1989,IN,1,2,1,716163
20706,1989,IN,1,2,2,612874
20707,1989,IN,1,2,3,512073
20708,1989,IN,1,2,4,359754
20709,1989,IN,1,2,5,392738
20710,1989,IN,2,1,1,88972
20711,1989,IN,2,1,2,58361
20712,1989,IN,2,1,3,39852
20713,1989,IN,2,1,4,23741
20714,1989,IN,2,1,5,15472
20715,1989,IN,2,2,1,87463
20716,1989,IN,2,2,2,66070
20717,1989,IN,2,2,3,46759
20718,1989,IN,2,2,4,28741
20719,1989,IN,2,2,5,23388
20720,1989,KS,1,1,1,340387
20721,1989,KS,1,1,2,275644
20722,1989,KS,1,1,3,222124
20723,1989,KS,1,1,4,145114
20724,1989,KS,1,1,5,129835
20725,1989,KS,1,2,1,322010
20726,1989,KS,1,2,2,268669
20727,1989,KS,1,2,3,219799
20728,1989,KS,1,2,4,155515
20729,1989,KS,1,2,5,196646
20730,1989,KS,2,1,1,38295
20731,1989,KS,2,1,2,30496
20732,1989,KS,2,1,3,16453
20733,1989,KS,2,1,4,7994
20734,1989,KS,2,1,5,5383
20735,1989,KS,2,2,1,36368
20736,1989,KS,2,2,2,27592
20737,1989,KS,2,2,3,17149
20738,1989,KS,2,2,4,9500
20739,1989,KS,2,2,5,7891
20740,1989,KY,1,1,1,503949
20741,1989,KY,1,1,2,407471
20742,1989,KY,1,1,3,338594
20743,1989,KY,1,1,4,222909
20744,1989,KY,1,1,5,172510
20745,1989,KY,1,2,1,476572
20746,1989,KY,1,2,2,415259
20747,1989,KY,1,2,3,348749
20748,1989,KY,1,2,4,244544
20749,1989,KY,1,2,5,261114
20750,1989,KY,2,1,1,52346
20751,1989,KY,2,1,2,37258
20752,1989,KY,2,1,3,22540
20753,1989,KY,2,1,4,13343
20754,1989,KY,2,1,5,10596
20755,1989,KY,2,2,1,49539
20756,1989,KY,2,2,2,39501
20757,1989,KY,2,2,3,26862
20758,1989,KY,2,2,4,16715
20759,1989,KY,2,2,5,16916
20760,1989,LA,1,1,1,435207
20761,1989,LA,1,1,2,356389
20762,1989,LA,1,1,3,289350
20763,1989,LA,1,1,4,190272
20764,1989,LA,1,1,5,138483
20765,1989,LA,1,2,1,416126
20766,1989,LA,1,2,2,352706
20767,1989,LA,1,2,3,290463
20768,1989,LA,1,2,4,207248
20769,1989,LA,1,2,5,211335
20770,1989,LA,2,1,1,274993
20771,1989,LA,2,1,2,158649
20772,1989,LA,2,1,3,102684
20773,1989,LA,2,1,4,57627
20774,1989,LA,2,1,5,44549
20775,1989,LA,2,2,1,271999
20776,1989,LA,2,2,2,183508
20777,1989,LA,2,2,3,126583
20778,1989,LA,2,2,4,76210
20779,1989,LA,2,2,5,68577
20780,1989,MA,1,1,1,711017
20781,1989,MA,1,1,2,736015
20782,1989,MA,1,1,3,555994
20783,1989,MA,1,1,4,354485
20784,1989,MA,1,1,5,297998
20785,1989,MA,1,2,1,681157
20786,1989,MA,1,2,2,746924
20787,1989,MA,1,2,3,578693
20788,1989,MA,1,2,4,392811
20789,1989,MA,1,2,5,486657
20790,1989,MA,2,1,1,84269
20791,1989,MA,2,1,2,74281
20792,1989,MA,2,1,3,42794
20793,1989,MA,2,1,4,19244
20794,1989,MA,2,1,5,9914
20795,1989,MA,2,2,1,83494
20796,1989,MA,2,2,2,76114
20797,1989,MA,2,2,3,45928
20798,1989,MA,2,2,4,22595
20799,1989,MA,2,2,5,15108
20800,1989,MD,1,1,1,445528
20801,1989,MD,1,1,2,443538
20802,1989,MD,1,1,3,375704
20803,1989,MD,1,1,4,234531
20804,1989,MD,1,1,5,167473
20805,1989,MD,1,2,1,422641
20806,1989,MD,1,2,2,437079
20807,1989,MD,1,2,3,378861
20808,1989,MD,1,2,4,246872
20809,1989,MD,1,2,5,254370
20810,1989,MD,2,1,1,215668
20811,1989,MD,2,1,2,181209
20812,1989,MD,2,1,3,128448
20813,1989,MD,2,1,4,66062
20814,1989,MD,2,1,5,33267
20815,1989,MD,2,2,1,210824
20816,1989,MD,2,2,2,204434
20817,1989,MD,2,2,3,153352
20818,1989,MD,2,2,4,76501
