,year,state,race,sex,age,state_fips,population
20694,1989,IL,2,1,5,8619,57771
20695,1989,IL,2,2,1,13634,359999
20696,1989,IL,2,2,2,8296,278600
20697,1989,IL,2,2,3,8245,207819
20698,1989,IL,2,2,4,7599,122819
20699,1989,IL,2,2,5,9860,89173
20700,1989,IN,1,1,1,8280,753486
20701,1989,IN,1,1,2,4968,608930
20702,1989,IN,1,1,3,4968,502783
20703,1989,IN,1,1,4,4968,331512
20704,1989,IN,1,1,5,8280,254536
20705,1989,IN,1,2,1,8280,716163
20706,1989,IN,1,2,2,4968,612874
20707,1989,IN,1,2,3,4968,512073
20708,1989,IN,1,2,4,4968,359754
20709,1989,IN,1,2,5,8280,392738
20710,1989,IN,2,1,1,13356,88972
20711,1989,IN,2,1,2,8550,58361
20712,1989,IN,2,1,3,8208,39852
20713,1989,IN,2,1,4,7416,23741
20714,1989,IN,2,1,5,9144,15472
20715,1989,IN,2,2,1,13320,87463
20716,1989,IN,2,2,2,8208,66070
20717,1989,IN,2,2,3,8154,46759
20718,1989,IN,2,2,4,7470,28741
20719,1989,IN,2,2,5,9882,23388
20720,1989,KS,1,1,1,10500,340387
20721,1989,KS,1,1,2,6300,275644
20722,1989,KS,1,1,3,6300,222124
20723,1989,KS,1,1,4,6300,145114
20724,1989,KS,1,1,5,10500,129835
20725,1989,KS,1,2,1,10500,322010
20726,1989,KS,1,2,2,6300,268669
20727,1989,KS,1,2,3,6300,219799
20728,1989,KS,1,2,4,6300,155515
20729,1989,KS,1,2,5,10500,196646
20730,1989,KS,2,1,1,13340,38295
20731,1989,KS,2,1,2,8920,30496
20732,1989,KS,2,1,3,7980,16453
20733,1989,KS,2,1,4,6960,7994
20734,1989,KS,2,1,5,8220,5383
20735,1989,KS,2,2,1,13640,36368
20736,1989,KS,2,2,2,8040,27592
20737,1989,KS,2,2,3,8200,17149
20738,1989,KS,2,2,4,7160,9500
20739,1989,KS,2,2,5,9520,7891
20740,1989,KY,1,1,1,12600,503949
20741,1989,KY,1,1,2,7560,407471
